"","Basal III cells","Fibroblasts","Macrophages"
"HMDB0000759",-0.999999999255175,-0.999999996005816,1.21913637904415e-09
"HMDB0000760",-0.999999989732072,-0.999999994998748,1.08763846067407e-09
"HMDB0000761",-0.999999980380434,-0.999999999216353,-0.999999987054689
"HMDB0000766",-0.999999998261371,-0.999999999000252,6.99355793145246e-09
"HMDB0000772",3.17521394594869e-05,2.33692127074918e-05,3.39705028195076e-06
"HMDB0000774",3.27179251123461e-08,2.40657786313828e-08,-0.999999999731325
"HMDB0000779",-0.993793278791409,-0.998744674791665,0.0722462101159585
"HMDB0000784",-0.999999080736254,-0.999998153005124,-0.999996127523472
"HMDB0000795",4.35130034038564e-07,2.70273726825496e-07,7.32346857698563e-10
"HMDB0000801",-1.99999984263739,-1.99999990401893,1.33727747636577e-08
"HMDB0000803",-0.999999998855368,3.42066677046529e-10,-0.999999998515784
"HMDB0000806",0.00847759465448879,0.00739634631554973,0.00162075707291629
"HMDB0000807",-0.995204402451049,-0.995779558862414,0.0712159668427379
"HMDB0000811",1.71790935072021e-08,1.07245482688318e-08,-0.999999999605387
"HMDB0000819",4.83498984632615e-08,-0.999999850485649,-0.999999993105245
"HMDB0000821",3.38468237873443e-08,1.66872934931695e-08,1.08004357008865e-09
"HMDB0000826",2.45148786976489e-05,2.09026665572992e-05,3.32471654019946e-06
"HMDB0000827",0.00916311127655893,0.00898266180726311,0.00169212878938298
"HMDB0000847",7.96852897315193e-07,1.77148241056933e-06,3.86756083063556e-06
"HMDB0000848",-0.99988922060142,0.000320187637317431,1.27194912033828e-09
"HMDB0000865",-1.99999996476407,-1.99999997804729,6.50976386189023e-09
"HMDB0000866",0.0023289117414188,0.00144294731664816,3.272925566182e-07
"HMDB0000870",7.74698477559871e-08,6.83454600761947e-08,-0.99999999562418
"HMDB0000876",0.0336420139332437,0.0353681113918509,0.0155028638308776
"HMDB0000881",2.50539068225388e-09,4.21289450073841e-09,1.56693691662678e-09
"HMDB0000883",0.000146969822521399,-0.999185899071693,-0.985984477716149
"HMDB0000892",-0.999999932052626,-0.999999942504718,-0.999999983030855
"HMDB0000893",-0.999985077438996,-0.99996274914414,4.81513495541016e-09
"HMDB0000895",1.12663492878003e-07,9.9643610223643e-08,-0.999999978248091
"HMDB0000896",-0.999999958488441,4.15486251848015e-08,1.56046619715664e-07
"HMDB0000898",3.75467210606975e-09,-0.999999996867455,-0.999999998515805
"HMDB0000899",1.07350855033597e-07,8.88612007545604e-08,2.52783400119423e-09
"HMDB0000900",-0.999999999709794,-0.999999999141614,3.58115929449899e-09
"HMDB0000902",-0.997582792478291,-0.998184576155686,0.033537062867312
"HMDB0000904",-0.999470236131211,3.45291800582057e-05,-0.999999119674316
"HMDB0000908",9.08189703927259e-09,5.36543737310841e-09,2.33745479763607e-11
"HMDB0000910",2.36481736149054e-05,2.11498545942523e-05,3.32937020238856e-06
"HMDB0000916",-0.999996737533733,5.07044358465696e-06,-0.99999999787229
"HMDB0000929",0.000130409870854066,-0.999913242999016,-0.996390218210936
"HMDB0000932",2.9142367658286e-08,1.84380906958507e-08,-0.99999999919674
"HMDB0000933",-0.999985606994794,-0.99996425945977,1.21280161512821e-08
"HMDB0000936",9.94695572323598e-07,-0.999997188228234,-0.999999994714866
"HMDB0000939",-0.996993785575398,0.000425319283500495,0.0248631187502261
"HMDB0000943",7.47626307073456e-06,5.11597940304563e-06,-0.999999092848447
"HMDB0000944",2.796258763073e-05,1.97746265693848e-05,3.36079119692282e-06
"HMDB0000946",-0.999999945537089,-0.999999976495024,-0.999999993115676
"HMDB0000947",-0.999999905916533,-0.999999941646301,-0.999999983077119
"HMDB0000949",-0.999999978847497,-0.999999999667567,1.20779278344898e-08
"HMDB0000951",-0.999999978847497,-0.999999999667567,1.20779278344898e-08
"HMDB0000962",-0.999999951437901,-0.999999957663207,2.47588187448258e-08
"HMDB0000972",-0.999999308627395,-0.999993979884515,-0.999986802278191
"HMDB0000975",4.5099471602331e-09,5.50067254069076e-10,-0.999999975091528
"HMDB0000990",0.0184970937401838,0.0361694924438766,0.0835494855547773
"HMDB0001008",-0.999997376549968,-0.99999668280461,-0.999997111489932
"HMDB0001039",1.43375101432412e-07,8.53972351665188e-08,2.40660619621132e-08
"HMDB0001043",0.000845817850154628,0.00083161814691948,-0.991258490766261
"HMDB0001044",-0.998119467894508,0.00194041279130279,1.24068882814602e-08
"HMDB0001050",1.84603819856107e-09,1.72746866829476e-09,-0.999999997504344
"HMDB0001051",0.0234111800461178,0.0430839053997738,-0.8560918230445
"HMDB0001056",-0.999999308627395,-0.999993979884515,-0.999986802278191
"HMDB0001072",-0.976542919533288,0.0463065930164044,-0.93830153737257
"HMDB0001080",2.01931430752683e-08,1.86145246716173e-07,2.99250251286714e-08
