"","B cells","Dendritic cells","Erythrocytes","Monocytes","NK cells","T cells"
"HMDB0000211",-0.99985350141043,-0.999980022283742,-0.99999999208962,-0.999937647305641,3.33228776136925e-09,-0.999897573946452
"HMDB0000212",-0.999998346212344,-0.999998327381367,-0.999999346865756,-0.99999764344251,-0.999998831050875,-0.999999398588577
"HMDB0000214",-0.996915695497753,-0.987771980863467,-0.937230590931553,-0.982271112028701,-0.973945170115269,-0.93363070151796
"HMDB0000215",1.94076350155364e-07,1.82329216451078e-07,-0.99999995395827,-0.999999731745183,2.55331442254534e-08,8.7427072842453e-10
"HMDB0000216",-0.999999997918457,1.51469370026228e-08,6.94472672398612e-09,6.46278921144541e-09,-0.999999996762513,1.34991041329633e-08
"HMDB0000217",2.33620864689786e-07,-0.999999684004171,-0.999999623051828,-0.99999998001972,-0.999999814068067,6.426918883846e-08
"HMDB0000220",0.000773454361149933,0.00103725592029653,0.000725801020629116,-0.999986526537504,0.000197393683873726,-0.998683215470771
"HMDB0000222",0.000367675828046151,0.000166898764484436,-0.998765188227529,-0.999973648747315,-0.999999822173206,-0.999977905346827
"HMDB0000223",-0.973690776245409,0.0114869063621813,0.0808690322842996,-0.982146190593383,0.0372863966087045,-0.992222707880803
"HMDB0000226",-0.999996438057898,1.15281156977573e-05,1.63628077072112e-05,1.43634798028496e-05,1.13839321218305e-05,1.90021456125309e-05
"HMDB0000230",1.23689558216019e-07,-0.999999904257739,1.24034366963189e-07,-0.999999379168475,-0.999999624216328,-0.99999989459
"HMDB0000234",-0.999999993468267,-0.999999992921215,-0.999999999409634,-0.999999996222541,-1.99999995099479,-1.99999999183934
"HMDB0000235",1.5124801317161e-07,-0.999999984092051,-0.999999552491243,-0.999999865287588,1.07718801104952e-06,7.1746099902915e-08
"HMDB0000237",9.48992450237004e-06,0.0014341317404837,0.000261326606603795,0.000154007571581234,0.00108290388863157,0.00120557596515753
"HMDB0000239",-0.996465079096585,-0.946564667274075,-0.956288017978568,-0.972012943629012,-0.983823508293826,-0.958170951480146
"HMDB0000240",0.0109631745467883,-0.999542051655732,-0.918035624556075,-0.994318594013372,0.0221305226562153,0.0293607224120681
"HMDB0000241",-0.999999941653908,5.90901166246029e-10,-0.999999606272235,7.40782013442873e-09,-0.99999968989785,5.14628210373512e-08
"HMDB0000243",-0.996391545097371,-0.996054252993522,0.10168598381384,-0.991625058384547,0.0170653765936984,0.0388775804822553
"HMDB0000244",-0.99999889575385,-0.999997549270353,1.42114049007355e-05,8.49514421241809e-06,1.62029015841871e-06,4.10817419201745e-06
"HMDB0000246",-0.999999671103232,1.52781762827049e-06,6.82014257975104e-09,-0.999995217555207,6.12905085889204e-09,-0.999999762509215
"HMDB0000247",-0.979886589016161,0.0335149893723349,0.00465378186176265,-0.949441539624074,0.0480885039521709,0.0826422138292911
"HMDB0000248",-0.999999997502793,-0.999999997886133,1.71491819242405e-10,-0.999999998615294,-0.999999998732001,-0.999999998310416
