"","Endothelial cells","Fibroblasts","Granulocytes","Macrophages","T cells"
"HMDB0000259",4.42221820702619e-09,-0.999999932955616,-0.999999998061231,-0.999999999120764,-0.999999984341729
"HMDB0000262",-0.9999999998315,1.00182723443454e-09,1.9940394847804e-10,4.84278304798716e-10,5.63506160674825e-10
"HMDB0000263",0.0209267232920609,-0.944938997114893,0.0215442311166075,0.15132928118372,-0.987553255818086
"HMDB0000265",6.9281679040219e-09,3.22343564201263e-08,1.06009444574779e-08,1.65938205384346e-09,1.44364343660576e-08
"HMDB0000267",-0.999999097332505,0.000480028184268215,8.79710989079199e-06,3.0662897159265e-05,1.49008049952704e-05
"HMDB0000269",-0.990656120802954,-0.992078584429938,-0.997456267457535,0.0128003770402343,0.0437400756755366
"HMDB0000271",-0.999999996736601,-0.99999998841128,2.85394777320538e-09,8.88086969215771e-09,-0.999999990862778
"HMDB0000272",-0.999550903906037,0.000828839043229496,-0.998771535353093,-0.999928450488473,-0.998950523259813
"HMDB0000273",1.12871281127278e-08,-0.999999516357539,1.20277687277563e-09,-0.999999583035337,1.2177322770961e-08
"HMDB0000277",0.0136791251791015,-0.996266550605382,-0.987120921640724,0.009806808113638,3.32282488426286e-06
"HMDB0000279",-0.999999993841525,1.45225128176178e-07,1.03770130256315e-08,-0.999999996855665,2.7696019504864e-08
"HMDB0000283",-0.999999998386309,4.55881602122129e-05,-0.999999995594783,-0.999901972633987,-0.999999990953734
"HMDB0000285",0.00481725984299848,-0.989712729260333,0.0149074583165184,0.0111143523170604,0.0222739394084423
