"","Macrophages","T cells"
"HMDB0001546",6.44600182497509e-05,-0.999999996598509
"HMDB0001547",-0.999999974396487,-0.999999991676899
"HMDB0001565",-0.999992676700164,0.00198624029918139
"HMDB0001586",3.07197278388509e-05,1.06697373752325e-08
"HMDB0001644",-0.99999957528492,-0.999999980651962
"HMDB0001659",5.77932900170176e-05,-0.999999951725839
"HMDB0001721",-0.999809293099098,0.0029403996783394
"HMDB0001830",-0.999999927262529,-0.999999939640992
"HMDB0001842",-0.999999999856367,-0.999999999739335
"HMDB0001851",0.0364564545678703,-1.57701632975856
"HMDB0001852",-0.982731236311936,0.186592058364083
"HMDB0001855",-0.99999999756746,-0.999999982661892
"HMDB0001858",-0.999999984528222,4.05670887892319e-09
"HMDB0001870",-0.99998286664441,-0.999998615789581
"HMDB0001874",0.0144816668007314,0.30950057395736
"HMDB0001875",-0.999995134703389,2.82458194019287e-05
"HMDB0001877",9.89001969849381e-05,-0.9997873208236
"HMDB0001882",-0.999690559191062,-1.9990813829325
"HMDB0001893",-0.999999940518821,-0.999999995042611
"HMDB0001896",3.854608901404e-09,4.61421549526172e-09
"HMDB0001903",-0.999999999678369,2.70850222809848e-09
"HMDB0001913",2.22966005951782e-09,-0.999999994869341
"HMDB0001921",-0.999999999856367,-0.999999999739335
"HMDB0001967",0.0477025635437035,-0.938934071913843
"HMDB0001976",9.89001969849381e-05,-0.9997873208236
"HMDB0001999",0.000217215831720327,-0.999407757425109
"HMDB0002003",2.59429945679733e-05,-0.999989373694551
"HMDB0002024",4.84134448740542e-09,2.17849859899153e-08
"HMDB0002027",3.3046561444044e-09,-0.999999995057097
"HMDB0002031",3.32907553023466e-09,8.96179075607388e-09
"HMDB0002035",-0.999999983536988,-0.999999991540822
"HMDB0002059",-0.99999996194026,1.16502027682561e-09
"HMDB0002078",-0.999999998470312,5.47976278693255e-08
"HMDB0002092",-0.999968319378073,8.54987275464337e-07
"HMDB0002103",-0.999998079480534,3.55691871031698e-06
"HMDB0002111",-0.491167605970311,-0.47127525702311
"HMDB0002134",-0.999999982067692,-0.999999982288448
"HMDB0002152",0.0425769996666275,-0.506048833393394
"HMDB0002158",-1.99999413226969,-0.999999920057538
"HMDB0002179",0.0235472675039087,-0.726828061028905
"HMDB0002183",0.0003082061740125,-0.999081500765131
"HMDB0002190",2.02650639716245e-08,-0.999999980715704
"HMDB0002200",1.03556913276076e-07,-0.999999975673096
"HMDB0002211",4.99111603299054e-06,2.52714491295433e-09
"HMDB0002212",2.190034588937e-05,-0.999989364427967
"HMDB0002226",0.000153262149490708,-0.999932882581228
"HMDB0002231",2.40498256586993e-05,-0.999989362343981
"HMDB0002232",2.02650639716245e-08,-0.999999980715704
"HMDB0002243",-0.999997784658524,-0.99999789165312
"HMDB0002259",2.53400627890949e-05,-0.999989217503431
"HMDB0002275",3.18135948511956e-08,2.75593424215099e-08
"HMDB0002283",-0.999999813218256,6.21959541785586e-09
"HMDB0002329",3.59309769020434e-06,6.17344048293574e-08
"HMDB0002345",2.90122903707604e-05,-0.999989394346493
"HMDB0002356",2.65472519785143e-05,-0.99998938139616
"HMDB0002368",2.84489540816396e-05,-0.999989384512094
"HMDB0002369",-0.982731236311936,0.186592058364083
"HMDB0002504",2.16282647462089e-08,5.41036693301782e-09
"HMDB0002639",3.45015719272877e-08,-0.999999999994883
"HMDB0002642",5.26586724146196e-09,4.9998723129624e-09
"HMDB0002656",5.54199509125036e-08,3.87801069504544e-09
"HMDB0002664",0.000535941507338676,0.000384231756645294
"HMDB0002666",-0.999995641168491,3.18777783077741e-06
"HMDB0002685",7.60505742075523e-08,1.99094739590601e-08
"HMDB0002704",-0.999999996587308,1.61446449812424e-08
"HMDB0002710",-0.999740041960017,0.00280589033234738
"HMDB0002719",0.0070086187978323,3.92658878144489e-08
"HMDB0002752",0.000791251434703884,-0.99999550007699
"HMDB0002757",-0.999998910856271,-0.999999979651243
"HMDB0002759",5.5782573855396e-10,-0.999999993283869
"HMDB0002786",-0.975597670347833,0.263599880892829
"HMDB0002802",1.80755294541736e-10,6.22427066473943e-09
"HMDB0002818",-0.999329673903029,0.00723390609708023
"HMDB0002820",5.24533000853061e-10,7.16824345388525e-09
"HMDB0002823",2.59421107489811e-05,-0.999989383485323
