"","Macrophages","T cells"
"HMDB0000490",-0.99999996222479,2.66418463909638e-09
"HMDB0000492",-0.999999945931532,3.24183512802893e-08
"HMDB0000499",3.34081664275582e-05,7.31826686211153e-06
"HMDB0000500",9.04701073296589e-05,1.17693642290041e-05
"HMDB0000506",2.74112470374025e-09,-0.999999993157804
"HMDB0000508",-0.999979280354527,1.11726577101353e-08
"HMDB0000510",9.24624958277742e-08,-0.999999973610698
"HMDB0000511",-0.999996464866797,-0.999999977770849
"HMDB0000513",-0.999996464866797,-0.999999977770849
"HMDB0000517",-0.995679987925161,-0.989540863718947
"HMDB0000518",-0.999999980560766,-0.999999982319606
"HMDB0000521",3.34081664275582e-05,7.31826686211153e-06
"HMDB0000525",9.62902475256977e-06,0.000520693830768261
"HMDB0000532",0.0435427192947556,-0.987723637002353
"HMDB0000535",5.24676864844907e-05,-0.999798035615377
"HMDB0000538",0.00577674796786853,-0.960412622788625
"HMDB0000554",4.17172806677263e-08,2.80514090003994e-09
"HMDB0000557",-0.998809806895303,-0.998007687356017
"HMDB0000561",-0.999999996590869,1.02626803570776e-08
"HMDB0000562",2.83442940517114e-08,-0.999999991679255
"HMDB0000568",0.0366841800791539,-0.746620397551472
"HMDB0000570",3.41577126519508e-07,7.28873035353001e-08
"HMDB0000573",-0.999999185854749,7.32458849519878e-06
"HMDB0000574",0.010439546103161,-0.99811657624518
"HMDB0000577",8.62577482579227e-09,1.87056876411657e-09
"HMDB0000586",6.31273595046815e-09,-0.999999991964901
"HMDB0000588",9.38013343041713e-09,-0.999999988405203
"HMDB0000595",-0.997683599601703,0.0347819812515391
"HMDB0000608",-0.999997322159451,-0.99999976832808
"HMDB0000619",4.32254298744852e-08,-0.999999989686616
"HMDB0000620",2.51088813051915e-05,-0.999999987948953
"HMDB0000621",-0.99999999859312,-0.999999994098762
"HMDB0000622",1.80300115745139e-05,-0.999999990819669
"HMDB0000623",-0.999972575429551,-0.999999992715741
"HMDB0000625",0.0713476872929988,-0.99999956216799
"HMDB0000630",-0.999999997775866,-0.999999994065569
"HMDB0000631",-0.989848687645274,0.0646151071202493
"HMDB0000637",1.51777902146216e-08,1.18817236738423e-08
"HMDB0000638",9.35936772831297e-06,7.01360098378976e-07
"HMDB0000641",-0.999130982968266,-0.997954613550473
"HMDB0000643",5.81123921987286e-06,6.38522909335234e-08
"HMDB0000646",-0.999999841301591,1.97101582310174e-07
"HMDB0000660",-0.999999990535701,-0.999999996239825
"HMDB0000661",7.61497344829529e-13,-0.999999999996988
"HMDB0000666",-0.999999926985229,-0.999999958964227
"HMDB0000669",3.13513718989057e-09,-0.999999983575466
"HMDB0000673",0.0444867307203494,0.013586000336588
"HMDB0000676",-0.982017911883347,0.11528775266882
"HMDB0000678",-0.999999999998539,-0.999999999237795
"HMDB0000679",-0.999999815870249,-0.999999950329395
"HMDB0000682",6.23552906026646e-10,-0.999999994202577
"HMDB0000684",7.62018469187671e-08,-1.99999995565706
"HMDB0000687",-0.934316406209852,-0.99383361692914
"HMDB0000691",-0.999999999884681,-0.999999998424959
"HMDB0000692",-0.484948393548207,-0.647907194155212
"HMDB0000695",2.1747619276483e-06,3.55022528031685e-09
"HMDB0000696",-0.98566824144251,-0.944896322467797
"HMDB0000698",4.66992985500378e-08,1.83643346049377e-08
"HMDB0000699",7.98967435113563e-08,4.33661238165958e-08
"HMDB0000700",7.05753820866535e-09,5.66850933504006e-08
"HMDB0000707",0.000856089403729274,0.0111997763992483
