"","Basal III cells","Fibroblasts","Macrophages"
"HMDB0000230",-0.999997889672804,-0.999999235534085,2.413301564403e-06
"HMDB0000234",-1.99999639264483,-1.99999441495442,-0.999999548986457
"HMDB0000235",-0.999999990748379,1.5772381745798e-06,2.71277514657968e-06
"HMDB0000237",0.0216473810592697,0.000982665628650678,0.00408649991943406
"HMDB0000239",-0.996505035293194,-0.999999963970832,6.36779816501487e-09
"HMDB0000240",0.030290550313049,-0.937918060160719,-0.909038897540848
"HMDB0000241",2.73636148581661e-06,1.1397687990717e-06,8.22080745757731e-09
"HMDB0000243",0.0417024172192747,0.0270675332017819,0.0674076930386474
"HMDB0000244",0.000101026053255547,9.63670847500759e-05,5.70290776525063e-06
"HMDB0000246",-0.999991866145847,-0.999996272722205,-0.999973372156107
"HMDB0000247",-0.990504092394248,0.0317275119155784,0.00900895300378459
"HMDB0000248",-0.99999998653665,-0.99999999502693,-0.999999997581456
"HMDB0000250",-0.995580781726138,-0.954163795686656,0.319236666954375
"HMDB0000251",0.000162298341335236,0.00136242591441962,0.00736231909920974
"HMDB0000252",0.00934141612742471,-0.99444090419509,0.0325352768246756
"HMDB0000253",9.25504744216631e-08,9.30620274481224e-08,-0.99999997162767
"HMDB0000254",1.38329226960494e-08,-0.999999931457845,2.60052295471812e-08
"HMDB0000256",-0.999999973749758,-0.999999964432375,2.15960426951124e-08
"HMDB0000257",1.03066659554183e-05,-0.999999994402,1.02537179661407e-08
"HMDB0000258",-0.999999997721637,-0.999999997680248,1.4679410892469e-10
"HMDB0000259",-0.999999953227874,-0.999999970545375,6.17238449320156e-09
"HMDB0000262",3.47281377273667e-09,4.87162106724522e-09,1.11652854215441e-09
"HMDB0000263",0.0170522402731593,0.000135530874105386,-0.76600039006124
"HMDB0000265",-0.999999975955054,-0.999999977505297,1.3123112318542e-09
"HMDB0000267",2.96387510669939e-05,2.07342221356745e-05,5.36886229757765e-10
"HMDB0000269",0.00596267501520185,-0.985831220048714,-0.993849471964875
"HMDB0000271",-0.999999994189841,6.40485064453483e-09,2.70840919451417e-08
"HMDB0000272",0.00208922315282843,-0.994737910287227,-0.999941196333815
"HMDB0000273",5.84613599963801e-05,-0.999911231120821,4.15134196953927e-09
"HMDB0000277",0.00576925219947304,0.00595505235773367,-0.890946797671618
"HMDB0000279",8.55749711829374e-08,-0.999999992836601,-0.999999994305629
"HMDB0000283",-0.999999998748312,4.03834434626238e-10,-0.999999992672963
"HMDB0000285",9.35368349693274e-05,0.000332194264013628,0.00968398747380953
"HMDB0000288",0.000248033594555141,-0.999175760347795,3.39407226355368e-06
"HMDB0000289",0.00304355088711674,-0.992208565468885,-0.998751674046232
"HMDB0000291",5.95664454536242e-08,3.73806319868254e-08,9.60970133722521e-09
"HMDB0000292",-0.999922738870696,6.48414390590223e-05,2.37034794284499e-06
"HMDB0000293",-0.999979455527959,-0.999998307683792,-0.999999999242066
"HMDB0000294",-0.997781446214023,0.00843620856687405,0.00181895839253472
"HMDB0000295",-0.999913880071428,0.000162385915560821,3.32871221990109e-05
"HMDB0000296",-0.999059163264232,0.00563844161318826,-0.990439362468718
"HMDB0000299",-0.999974532736574,7.4354853349619e-05,6.30676059763637e-07
"HMDB0000300",2.67424980086455e-07,1.06863720338989e-07,1.87612798514293e-08
"HMDB0000301",9.34436900869426e-08,-0.999999993754313,-0.999999989616274
"HMDB0000302",-0.999975887104585,-0.99998927106318,-0.999991938536961
"HMDB0000303",-0.999999995013248,-0.999999998992673,-0.999999998978363
"HMDB0000305",-0.999999998622597,-0.999997964347023,-0.999999998930852
"HMDB0000306",-0.999999976412902,1.47075506348324e-08,2.03668705037267e-08
"HMDB0000321",0.000510492318216369,-0.988490784717353,0.0534383729475714
"HMDB0000343",1.87290862765714e-06,-0.999997247402621,3.09641153920768e-07
"HMDB0000347",-0.999995349905388,-0.999997902744833,9.38008392509892e-06
"HMDB0000362",0.0304675648535116,-0.925896996944234,-0.970817108465776
"HMDB0000363",3.21499044628874e-08,2.38721827056292e-08,1.39709621026542e-08
"HMDB0000364",-1.99999995513321,-1.99999998243892,1.96032161987935e-08
"HMDB0000374",5.98201510143591e-08,6.03995443618891e-08,8.32254106398172e-09
"HMDB0000379",0.00538579191677838,0.0011929072436569,0.0197552360367022
"HMDB0000380",0.00538579191677838,0.0011929072436569,0.0197552360367022
"HMDB0000415",-1.99999995513321,-1.99999998243892,1.96032161987935e-08
"HMDB0000428",1.89630195407561e-05,4.37659443400325e-07,1.58418498021754e-06
"HMDB0000448",-0.999947304732766,-0.999998356663605,3.3501943130714e-08
"HMDB0000453",1.74361925784021e-05,6.7337243501797e-05,0.00165973345002247
"HMDB0000462",-0.999994807262855,6.27304875477151e-06,8.04373062644235e-06
"HMDB0000464",-0.999999994133043,-0.999999998209987,1.35625502502049e-09
"HMDB0000467",-0.999999964418057,-0.999999990301796,-0.999999998265856
"HMDB0000479",-0.985704212311942,0.0444287769054997,-0.970263219606484
"HMDB0000482",-0.999999160562576,7.53679867353045e-07,1.34285277693807e-06
"HMDB0000490",-0.999999954916235,-0.999999972498837,8.31367873471636e-11
"HMDB0000492",-0.999999858704649,-0.999999939491853,-0.999999984931842
"HMDB0000499",3.39467319548083e-05,2.8148594223028e-05,-0.999997692405179
"HMDB0000500",3.7402410515794e-05,8.78588937264994e-05,0.000173465934425367
"HMDB0000506",6.0581661162876e-09,3.44256571899523e-09,4.73406358044397e-09
"HMDB0000508",3.22726474246212e-09,-0.999999998189125,4.77530842981122e-09
"HMDB0000510",5.04806408561397e-08,1.6133950505988e-08,1.00148074605984e-08
"HMDB0000511",3.20111949922579e-08,-0.999958260478878,-0.999999994258691
"HMDB0000513",3.20111949922579e-08,-0.999958260478878,-0.999999994258691
"HMDB0000517",-0.988128366915016,-0.99214662651554,0.00312095476189206
"HMDB0000518",-0.999999953831704,-0.999999997857625,3.48749849086523e-08
"HMDB0000521",3.39467319548083e-05,2.8148594223028e-05,-0.999997692405179
"HMDB0000525",1.74361925784021e-05,6.7337243501797e-05,0.00165973345002247
"HMDB0000532",0.0599806852781316,0.0208853516331653,0.00440527825789641
"HMDB0000535",4.66488401502172e-05,0.000159352769815039,-0.99906608708211
"HMDB0000538",-0.985614293263653,0.0292325930167865,0.0457014398678776
