"","Endothelial cells","Fibroblasts","Macrophages","Myocytes","Neutrophils","NK cells","T cells"
"HMDB0000301",-0.999999998721588,1.98533548743386e-08,8.26010282370396e-09,1.94471365733775e-09,-0.999999980946914,2.94376266648336e-08,1.42094777260125e-08
"HMDB0000302",5.77467197466181e-07,-0.999992603450874,-0.999998904145295,1.36491339076891e-06,-0.999973284600572,-0.99999907059226,-0.999994563473924
"HMDB0000303",1.57899953395394e-10,-0.999999999155998,-0.999999999619202,-0.999999999901205,3.43358025768165e-10,-0.999999999626559,-0.999999998912375
"HMDB0000305",-0.999999998740013,-0.999999711952157,1.2290953448026e-07,-0.999999998870459,-0.999999392648555,-0.999999652252602,-0.999999997715674
"HMDB0000306",1.9804767839625e-09,6.5011780042978e-10,-0.999999999847445,1.30630907917331e-09,4.65808348601796e-09,-0.999999999880467,1.02180259298001e-09
"HMDB0000321",-0.977387094647947,0.0120094371375919,0.037301626762171,-0.96494849248992,-0.978045083769219,0.0411456059398161,-0.999899370679624
"HMDB0000343",-0.999999708373838,2.69651132942974e-07,2.32262747210538e-07,2.46464733556137e-08,-0.999999988855606,4.29457232437455e-07,1.11631152834876e-06
"HMDB0000347",-0.999999377438913,-0.999999580688249,2.6290234885142e-07,5.54847020381024e-08,6.70282795119152e-08,-0.999999414014922,2.04133814783739e-07
"HMDB0000362",0.00691885595529564,0.00372001130293451,-0.897780063208313,-0.928736955820693,0.00275495301077122,-0.962648476233187,0.0466696725034375
"HMDB0000363",-0.999999998019205,4.22466443483573e-09,3.02619932500606e-09,2.07617928362464e-10,-0.999999998973039,4.73914754107827e-09,8.24431604496787e-10
